slice,value,rows,positive_rate,precision,recall,false_positive_rate,false_negative_rate
up_order_count_bin,1,391081,0.02967415957308077,0.13483040496100723,0.12365359758724688,0.024265039159261717,0.8763464024127531
up_order_count_bin,2,107906,0.0662984449428206,0.15500102270402946,0.5296337713167458,0.205018262664761,0.4703662286832541
up_order_count_bin,3-4,78614,0.10655862823415677,0.18586757856258476,0.7526560821296406,0.39319731765308885,0.2473439178703593
up_order_count_bin,5+,74515,0.1815339193450983,0.24632691460827094,0.909736083388778,0.6173673509542861,0.090263916611222
orders_since_last_bin,0,103228,0.17757778897198434,0.22553602418406762,0.8791118869674323,0.6518133738530218,0.12088811303256779
orders_since_last_bin,1,74265,0.10551403756816805,0.19814621291289927,0.5565339458907606,0.26566710322299,0.4434660541092394
orders_since_last_bin,2-3,109062,0.06361519135904348,0.14551451900719192,0.38786393773421735,0.15473346128236262,0.6121360622657827
orders_since_last_bin,4-6,100236,0.036743285845404844,0.09523809523809523,0.18137387998913929,0.06572556005509927,0.8186261200108607
orders_since_last_bin,7+,265325,0.014604730048054274,,0.0,0.0,1.0
product_reorder_rate_bin,0-0.2,35504,0.011998648039657504,0.08348457350272233,0.107981220657277,0.014396487827128114,0.892018779342723
product_reorder_rate_bin,0.2-0.4,99413,0.025469506000221298,0.12031429039122606,0.2902843601895735,0.055470112818818966,0.7097156398104265
product_reorder_rate_bin,0.4-0.6,259114,0.050259731237987916,0.17140737782088955,0.46133763341779926,0.11801731879670528,0.5386623665822007
product_reorder_rate_bin,0.6-0.8,244049,0.09021548951235203,0.2109685347660827,0.6705727392469455,0.2486938819629603,0.32942726075305445
product_reorder_rate_bin,0.8-1.0,14036,0.18986890852094615,0.3136769759450172,0.8562851782363977,0.43909946354762114,0.14371482176360226
department_id,1,49418,0.05526326439758792,0.18875095008867493,0.5455876968143537,0.13716880502066955,0.4544123031856463
department_id,2,1108,0.033393501805054154,0.15584415584415584,0.32432432432432434,0.06069094304388422,0.6756756756756757
department_id,3,21694,0.06891306351986724,0.19677959012965288,0.6294314381270903,0.19015792861032724,0.3705685618729097
department_id,4,162133,0.08203141865012058,0.20932892730045755,0.619172932330827,0.20899262932279802,0.38082706766917296
department_id,5,3264,0.051470588235294115,0.18809980806142035,0.5833333333333334,0.13662790697674418,0.4166666666666667
department_id,6,8589,0.023634881825590873,0.13050570962479607,0.39408866995073893,0.06355831147150012,0.6059113300492611
department_id,7,46038,0.07923888961292845,0.22959649443125799,0.6894188596491229,0.19907997169143665,0.3105811403508772
department_id,8,1802,0.06881243063263041,0.1856763925729443,0.5645161290322581,0.18295589988081049,0.43548387096774194
department_id,9,22608,0.04078202406227884,0.1609735269000854,0.4088937093275488,0.09061145439454026,0.5911062906724512
department_id,10,705,0.06099290780141844,0.22549019607843138,0.5348837209302325,0.11933534743202417,0.46511627906976744
department_id,11,14686,0.023559852921149396,0.1375,0.34971098265895956,0.05292887029288703,0.6502890173410405
department_id,12,15031,0.05827955558512408,0.18253035644339993,0.5319634703196348,0.14743906746732605,0.4680365296803653
department_id,13,60701,0.0234592510831782,0.11996735582154516,0.30969101123595505,0.0545742868228824,0.6903089887640449
department_id,14,15322,0.05560631771309229,0.18104547386315342,0.5,0.1331720801658604,0.5
department_id,15,28697,0.041258668153465516,0.16137566137566137,0.41216216216216217,0.0921746083669538,0.5878378378378378
department_id,16,87661,0.08246540650916599,0.21803596376582993,0.6692488587633144,0.21572259797095683,0.3307511412366856
department_id,17,21562,0.03617475187830443,0.14513375071143997,0.3269230769230769,0.07227408334135309,0.6730769230769231
department_id,18,8359,0.043306615623878456,0.15668580803937654,0.5276243093922652,0.1285482055770914,0.4723756906077348
department_id,19,60562,0.056322446418546286,0.1893443448484238,0.5511580181764878,0.14083743066613008,0.44884198182351215
department_id,20,20148,0.06804645622394283,0.2021093941623743,0.6010211524434719,0.17324386217180593,0.39897884755652807
department_id,21,2028,0.07741617357001973,0.20711974110032363,0.40764331210191085,0.13094601817210047,0.5923566878980892
