error_type,rows,avg_proba,avg_user_orders,avg_cart_size,avg_user_reorder_ratio,avg_product_orders,avg_product_reorder_rate,avg_cart_position,avg_up_order_count,avg_up_order_rate,avg_orders_since_last,avg_department_reorder_rate
FN,16828,0.11093290114853557,19.464761112431663,13.006762538626099,0.4620581887330639,6874.5489660090325,0.5640172153553601,8.579424768243404,2.0389232231994296,0.15090169360589495,4.956679343950559,0.5833839137152365
FP,95133,0.17990575583756233,20.52196398725994,13.51127284958952,0.5108211945381729,10099.751526809834,0.6233372331367664,8.143209611806629,5.542840023966447,0.35435574196125424,0.8667759873019878,0.6052214657374413
TN,516320,0.09116019496961651,27.135007359776882,12.488056670281996,0.5007552765726682,4195.184153238301,0.5058883777502324,8.906080996281377,1.6627905175085218,0.10092947106445614,11.797598388596219,0.5571016588549738
TP,23835,0.1903246466245514,19.64610866372981,14.084298720369205,0.5383735347178519,13536.580029368575,0.6550042080973358,7.766189637088316,7.515921963499056,0.4635395007342144,0.564715754143067,0.6169015061883785
