model,tn,fp,fn,tp,false_positive_rate,false_negative_rate
Decision Tree,450109,161344,10694,29969,0.2638698313688869,0.2629909254113076
LightGBM,516320,95133,16828,23835,0.15558513900496032,0.4138405921845412
Logistic Regression,446944,164509,10551,30112,0.2690460264321215,0.25947421488822764
Random Forest,448254,163199,10184,30479,0.26690358866503233,0.2504488109583651
XGBoost,469084,142369,12189,28474,0.23283719271963668,0.2997565354253252
