model,n,positive_rate,accuracy,precision,recall,f1,roc_auc,pr_auc,log_loss
LightGBM,652116,0.062355470499113656,0.8283112207030651,0.20034799273754286,0.5861594078154587,0.2986262066891769,0.8042794509910675,0.22206556636026992,0.22324392317674524
XGBoost,652116,0.062355470499113656,0.7629900201804587,0.16666764222122066,0.7002434645746748,0.2692500449159835,0.8079227310563152,0.24783732427748645,0.47846629332468527
Random Forest,652116,0.062355470499113656,0.7341224567408252,0.15736944825948224,0.7495511890416349,0.2601252021626604,0.816049800418755,0.25653553621318215,0.5225422521404685
Decision Tree,652116,0.062355470499113656,0.7361849732256225,0.15664905155425926,0.7370090745886925,0.2583801772597165,0.8109849527327896,0.252646113202818,0.5268336684898187
Logistic Regression,652116,0.062355470499113656,0.7315508283802268,0.1547212274112249,0.7405257851117724,0.2559630064092756,0.8097838897497414,0.24854720568772465,0.539572690377987
