model,accuracy,precision,recall,f1,roc_auc,pr_auc,log_loss
XGBoost,0.7629900201804587,0.1666676422212206,0.7002434645746748,0.2692500449159835,0.8079227310563152,0.2478373242774864,0.478466293289051
Logistic Regression,0.7315508283802268,0.1547212274112249,0.7405257851117724,0.2559630064092756,0.8097838897497414,0.2485472056877246,0.539572690377987
Decision Tree,0.7361849732256225,0.1566490515542592,0.7370090745886925,0.2583801772597165,0.8109849527327896,0.252646113202818,0.5268336684898628
LightGBM,0.8283112207030651,0.2003479927375428,0.5861594078154587,0.2986262066891769,0.8042794509910675,0.2220655663602699,0.2232439231767453
Random Forest,0.7341224567408252,0.15736944825948224,0.7495511890416349,0.2601252021626604,0.816049800418755,0.25653553621318215,0.5225422521404921
